item_id_a,item_id_b,name_a,name_b,brand_a,brand_b,size_a,size_b,pl_a,pl_b,composite,stratum,label,reason,judge
2393254,101750,"Quaker Salt-Free Rice Cakes, 4.47 Oz.","Quaker Rice Cakes, Salt Free",quaker salt free,quaker,4.47oz,4.47oz,False,False,0.9213911801829208,very_high,1,"Same brand class (national), same product type (rice cakes) and same variant (salt free), same size (4.47 oz).",gpt-5-nano
2085485,1145539,CeraVe Baby Moisturizing Cream 8oz/226g,CeraVe Intensive Moisturizing Cream,cerave,cerave,8oz,8oz,False,False,0.9061666180830704,very_high,1,"Same brand and private-label status, same 8oz size, and both are CeraVe moisturizing cream with no conflicting variant/flavor indicated.",gpt-5-nano
1927119,1090385,"Hidden Valley Buttermilk Ranch Topping and Dressing, 16 fl oz Bottle",Hidden Valley The Original Ranch Buttermilk Ranch Condiment & Dressing,hidden valley,hidden valley,16fl_oz,16fl_oz,False,False,0.9172251629913096,very_high,0,"Same brand, size, and brand-class, but different variant/flavor (Buttermilk Ranch Topping & Dressing vs The Original Ranch).",gpt-5-nano
2117115,98832,"Liquid Death, Sparkling Mountain Water, 8-Pack (19.2oz Cans), Real Mountain Source, Infinitely Recyclable Ice-Cold Cans","Liquid Death Sparkling Water, King Size Cans",liquid death,liquid death,19.2fl_oz,19.2fl_oz,False,False,0.8635739007883629,very_high,0,Different product variants/packaging: A is Sparkling Mountain Water 8-pack (19.2oz cans) while B is Sparkling Water 'King Size' cans; not the same item.,gpt-5-nano
1918951,97480,"Smucker's Sugar Free Concord Grape Jam, 12.75 oz","Smucker's Jam, Sugar Free, Concord Grape",smucker s sugar,smucker s,12.75oz,12.75oz,False,False,0.9301039023069864,very_high,1,"Same brand class (national), same product type (sugar-free concord grape jam), same variant (concord grape, sugar free), and same size (12.75 oz).",gpt-5-nano
2269682,114217,"Old Spice Red Collection Invisible Solid Antiperspirant for Men, Karma Scent, 2.6oz","Old Spice Red Collection Antiperspirant and Deodorant, Swagger",old spice,old spice,2.6oz,2.6oz,False,False,0.8768452624459167,very_high,0,"Same brand and size, but different product variant/scent: 'Karma Scent' vs 'Swagger' (different Red Collection offerings).",gpt-5-nano
2118758,1090228,"Red Bull Peach Edition Sugarfree Energy Drink,  White Peach,  12 fl. oz.,  Pack of 4 cans",Red Bull The Peach Edition Sugarfree White Peach Energy Drink,red bull,red bull,12fl_oz,12fl_oz,False,False,0.94272934305596,very_high,1,"Same brand (Red Bull), same variant (Peach Edition Sugarfree White Peach), same size per can (12 fl oz), same brand class (national). Multi-pack difference doesn’t affect per-unit size match.",gpt-5-nano
2086161,114320,"Tom’s of Maine Rapid Relief Sensitive Toothpaste, Fluoride Free, Fresh Mint, 4.0 Oz","Tom's of Maine Toothpaste, Flouride-Free, Fresh Mint, Rapid Relief Sensitive",tom s of maine,tom s of maine,4oz,4oz,False,False,0.9383300481223014,very_high,1,"Same brand-class (national), same product type (fluoride-free toothpaste), same variant (Rapid Relief Sensitive, Fresh Mint), and same size (4.0 oz).",gpt-5-nano
2220999,101295,Siete Mild Taco Seasoning 1.31 oz Pack of 3,Siete Mild Taco Seasoning,siete,siete,1.31oz,1.31oz,False,False,0.9575537426072938,very_high,0,"Mismatch in size/pack format: A is a 1.31 oz pack of 3, B is 1.31 oz single; total amounts differ.",gpt-5-nano
2054990,953429,"(3 pack) Werther's Original Individually Wrapped Soft Caramels, 10.8oz Sharing Size Bag","Werther's Original Caramels, Soft, Share Size",werther s original,werther s original,10.8oz,10.8oz,False,False,0.8934845820857564,very_high,1,"Same national brand (Werther’s Original), same product type/variant (soft, share size caramels), and same stated size 10.8oz; pack formatting differs but per-unit size matches.",gpt-5-nano
2678821,2682556,"Alani Nu, Blue Slush, 12 fl oz, Single Can",Alani Nu Alani Energy Lime Slush Energy Drink 12 Fl Oz Single Can,alani nu,alani nu,12fl_oz,12fl_oz,False,False,0.9186483378391808,very_high,0,"Same brand and size, but flavor differs (Blue Slush vs Lime Slush).",gpt-5-nano
1939240,96278,"Domino Premium Pure Cane Granulated Sugar, 1 lb Box",Domino Premium Pure Cane Dark Brown Sugar,domino premium,domino,1lb,1lb,False,False,0.8962351077221096,very_high,0,"Different product variant: A is pure cane granulated sugar, B is dark brown sugar (different flavor/type), despite same brand and size.",gpt-5-nano
1942041,100816,"Cheetos Mac 'N Cheese Cheddar Barbeque Flavored Pasta, 5.9 oz","Cheetos Mac'N Cheese, Bold & Cheesy Flavor",cheetos mac,cheetos,5.9oz,5.9oz,False,False,0.8735152903568897,very_high,0,"Flavor/variant differs: A is Cheddar Barbeque Flavored, B is Bold & Cheesy (not BBQ). Sizes and brand class match, but variant not.",gpt-5-nano
1950877,96366,"(2 pack) Heinz HomeStyle Brown Gravy, 12 oz Jar, Liquids",Heinz HomeStyle Turkey Gravy,heinz homestyle,heinz,12oz,12oz,False,False,0.8670870404254076,very_high,0,"Flavor differs (brown gravy vs turkey gravy). Even though brand, size (12 oz), and private-label status match, the variant is not the same.",gpt-5-nano
1935336,113865,"Febreze Air Freshener Spray, Odor-Fighting Mist, Pine & Berry, Christmas Tree Scent, 8.8oz, 1 Count",Febreze Air Freshener Spray Odor-Fighting Gain Scent,febreze air,febreze,8.8oz,8.8oz,False,False,0.8764087976611415,very_high,0,"Same brand and size, but different scent/variant (Pine & Berry Christmas Tree vs Gain).",gpt-5-nano
2194589,97144,"(2 pack) Lucky Leaf Organic Fruit Filling Blueberry, 21.0 OZ","Lucky Leaf Fruit Filling or Topping, Organic, Cherry",lucky leaf,lucky leaf,21oz,21oz,False,False,0.8941875382186039,very_high,0,"Same brand class and size, but flavor/variant differs (blueberry vs cherry).",gpt-5-nano
2077726,97219,Bob's Red Mill Gluten Free Biscuit & Baking Mix 24 oz Pkg,"Bob's Red Mill Pancake Mix, Gluten Free",bob s red,bob s red mill,24oz,24oz,False,False,0.8579005959846457,very_high,0,"Same brand and 24 oz size, but different product type/flavor: biscuit & baking mix vs pancake mix.",gpt-5-nano
1944694,2683571,"BODYARMOR Strawberry Banana Electrolyte Sports Drink, 16 fl oz Bottle",BODYARMOR Strawberry Banana Electrolyte Sports Drink,bodyarmor strawberry,bodyarmor strawberry,16fl_oz,16fl_oz,False,False,0.9658061846257358,very_high,1,"Same brand (BodyArmor), same flavor (Strawberry Banana), same product type (electrolyte sports drink), and same size (16 fl oz); both are national brand.",gpt-5-nano
2111216,2682600,"Hershey's Kisses Milk Chocolate Snoopy and Friends, Valentine's Candy Bag, 9.5 oz",Hershey's Kisses Milk Chocolate Share Pack,hershey s kisses,hershey s kisses,9.5oz,9.5oz,False,False,0.8860232336591571,very_high,0,"Same brand and 9.5 oz private-label status, but A is a Snoopy & Friends Valentine-themed bag while B is a generic Share Pack—variant/package type differs for interchangeability.",gpt-5-nano
1927216,1087124,"Hershey's Kisses Strawberry Ice Cream Cone Flavored Candy, Share Pack 9 oz","Kisses Strawberry Ice Cream Cone, Share Pack",hershey s kisses,kisses,9oz,9oz,False,False,0.8894810968792604,very_high,0,"Flavor/variant not fully matched: A specifies “Strawberry Ice Cream Cone Flavored Candy,” while B omits the “Strawberry Ice Cream Cone Flavored” detail (only “Strawberry Ice Cream Cone”).",gpt-5-nano
2051410,101912,"Simply Organic Mild Chili Seasoning Mix, 1 oz Packet",Simply Organic Spicy Chili Seasoning Mix,simply organic,simply organic,1oz,1oz,False,False,0.9330754615058334,very_high,0,"Same brand and size, but different flavor/variant: Mild vs Spicy chili seasoning mix.",gpt-5-nano
1940470,106171,"Crest Toothpaste, Kids Cavity Protection Toothpaste, Sparkle Fun Flavor, 4.6 oz, Triple Pack for Ages 3+","Crest Kids Cavity Protection Toothpaste, Sparkle Fun Flavor",crest toothpaste,crest,4.6oz,4.6oz,False,False,0.9206186040938202,very_high,0,"Not the same size/pack: A is a triple pack (implied multipack), while B lists only a single 4.6 oz item; brand, flavor, and toothpaste type match but pack/size handling differs.",gpt-5-nano
1922282,102531,"MaraNatha Natural Creamy Almond Butter, 12 oz","MaraNatha Almond Butter, Natural, Creamy",maranatha natural,maranatha,12oz,12oz,False,False,0.932896634067375,very_high,1,"Same brand class (national), same product type (natural creamy almond butter), and same size (12 oz); names differ only in wording/order.",gpt-5-nano
2057528,2684719,"Theraflu Severe Congestion Relief Nasal Mist, Oxymetazoline Hci 0.05% Nasal Decongestant, 12 Hour Relief, Ultra-Fine Mist, 0.34 Fl Oz",Theraflu Severe Congestion Relief Nasal Mist,theraflu,theraflu severe,0.34fl_oz,0.34fl_oz,False,False,0.8890783447075661,very_high,1,"Same brand class (national), same product type (Theraflu Severe Congestion Relief Nasal Mist), same active/form (nasal decongestant mist), and same size (0.34 fl oz).",gpt-5-nano
2252651,1091294,"Dr Teal's Pure Epsom Salt Soaking Solution, Soften & Nourish with Milk & Honey, 3 lb",Dr Teal's Pure Epsom Salt Sensitive Skin Soaking Solution,dr teal s,dr teal s,3lb,3lb,False,False,0.9035000713412342,very_high,0,"Same brand and size, but different variant/flavor: A is ""Milk & Honey"" while B is ""Sensitive Skin"".",gpt-5-nano
2063181,106801,"(3 pack) Maybelline Baby Lips Moisturizing Lip Balm, Cherry Me, 0.15 oz.","Maybelline Baby Lips Moisturizing Lip Balm, Lip Makeup Cherry Me",maybelline baby,maybelline,0.15oz,0.15oz,False,False,0.9169059401712024,very_high,1,"Same brand (national Maybelline), same product type (Baby Lips moisturizing lip balm), same flavor/variant (Cherry Me), and same size per unit (0.15 oz); A is a 3-pack but per-unit size matches.",gpt-5-nano
1924812,104060,"Kernel Season's Dill Pickle Popcorn Seasoning, 2.85 Ounces","Kernel Season's Popcorn Seasoning, Butter",kernel season s,kernel season s,2.85oz,2.85oz,False,False,0.9079136520368314,very_high,0,"Same brand and size, but different flavor/variant: Dill Pickle Popcorn Seasoning vs Butter Popcorn Seasoning.",gpt-5-nano
2194774,2685544,"Febreze Air Mist Air Freshener Spray Gain Honey Berry Hula, 8.1oz 2 Count",Febreze Air Mist April Fresh Air Freshener,febreze air,febreze air,8.1oz,8.1oz,False,False,0.857425274429612,very_high,0,Same brand class and size (8.1 oz) but different scent/variant: Gain Honey Berry Hula vs April Fresh.,gpt-5-nano
371372,108947,Vanicream Moisturizing Lotion Pump 16 oz,"Vanicream Moisturizing Lotion, for Sensitive Skin",vanicream moisturizing,vanicream,16oz,16oz,False,False,0.8980149398412849,very_high,1,"Same brand class (national), same product type (Vanicream moisturizing lotion), same size (16 oz); flavor/variant is consistent as basic moisturizing lotion for sensitive skin.",gpt-5-nano
2052494,96236,"Pepperidge Farm Dublin Shortbread Cookies, 5.5 oz Bag",Pepperidge Farm Bordeaux Dublin Shortbread Cookies,pepperidge farm,pepperidge farm,5.5oz,5.5oz,False,False,0.9465826357842986,very_high,0,"Same brand and size, but different Dublin shortbread variants (Dublin vs Bordeaux)",gpt-5-nano
2258495,94456,"So Delicious Dairy Free Dark Chocolate Truffle Cashew Milk Frozen Dessert, 1 Pint",So Delicious Dairy Free Non-Dairy Cashewmilk Dark Chocolate Truffle Frozen Dessert,so delicious,so delicious dairy free,1pt,1pt,False,False,0.9056572457996004,very_high,1,"Same brand (national), same product type (frozen dairy-free cashew milk dark chocolate truffle dessert), same variant (dark chocolate truffle), and same size (1 pint).",gpt-5-nano
2051680,96625,"(4 pack) Mrs. Butterworth's Extra Buttery Pancake Syrup, 24 fl. oz.","Mrs. Butterworth's Syrup, Original",mrs butterworth s,mrs butterworth s,24fl_oz,24fl_oz,False,False,0.9192118591119688,very_high,0,Different product variant: A is Extra Buttery (4-pack) while B is Original; flavors/variants do not match.,gpt-5-nano
2071345,101620,"Prego Chunky Roasted Garlic and Herb Pasta Sauce, 23.75 oz Jar",Prego Chunky Garden Combo Pasta Sauce,prego chunky,prego,23.75oz,23.75oz,False,False,0.88500156759444,very_high,0,"Brand class and size match, but flavor/variant differs (Roasted Garlic and Herb vs Garden Combo).",gpt-5-nano
1920048,106459,"Mrs. Meyers Clean Day Hand Soap, Snowdrop Scent, 12.5 Fl Oz Bottle","Mrs. Meyers Liquid Hand Soap, Mint Scent",mrs meyers,mrs meyers,12.5fl_oz,12.5fl_oz,False,False,0.9259843685675814,very_high,0,"Same brand, size, and brand class, but different scent/variant (Snowdrop vs Mint).",gpt-5-nano
600200,952669,"Welch's 100 Purple Juice, Concord Grape, 96 Fl Oz (Pack of 24)",Welch's Concord Grape Juice Family Size,welch s,welch s,96fl_oz,96fl_oz,False,False,0.8789934899364868,very_high,1,"Same brand (Welch's; national), same product type (100% grape juice), same variant (Concord Grape), and same size (96 fl oz). Multi-pack wording does not change per-unit size.",gpt-5-nano
1940035,109422,"Dawn Powerwash Spray, Dish Soap, Fresh Pine, Christmas Tree Scent, 1 Starter Kit, 16 fl oz","Dawn PLATINUM PLUS POWERWASH Spray, Dish Soap, Fresh, Starter Kit",dawn powerwash,dawn,16fl_oz,16fl_oz,False,False,0.8766183391991287,very_high,0,Different product variant/line: 'Dawn Powerwash' Christmas Tree/Fresh Pine scent vs 'Dawn Platinum Plus Powerwash' Fresh; size and brand class match but variant differs.,gpt-5-nano
1941698,91833,Chobani Flip Low-Fat Greek Yogurt S'more S'mores 4.5 oz 4 Pack,"Chobani Flip Yogurt, Greek, S'more S'mores",chobani flip,chobani,4.5oz,4.5oz,False,False,0.9228893643334593,very_high,0,"Same brand-class, product type, flavor, and size, but A is a 4-pack while B appears to be single-serve (multi-pack not confirmed as equivalent).",gpt-5-nano
2070608,102120,"True Lemon Raspberry Lemonade Drink Mix Powder, No Artificial Sweeteners, 1.06 oz., 10 Count Box","True Lemon Drink Mix, Raspberry Lemonade",true lemon,true lemon,1.06oz,1.06oz,False,False,0.9168316171715494,very_high,1,"Same brand (national), same product type (drink mix powder), same flavor (raspberry lemonade), and same size 1.06 oz; both are private_label=False.",gpt-5-nano
2262889,1858041,(4 pack) Pop Daddy Pretzels Birthday Cake Flavored Pretzel Sticks 7.5 oz,Pop Daddy Dill Pickle Pretzel Sticks,pop daddy pretzels,pop daddy,7.5oz,7.5oz,False,False,0.8657607197829147,very_high,0,"Same brand and size (7.5 oz) and both national brands, but flavor/variety differs (Birthday Cake vs Dill Pickle), so not interchangeable.",gpt-5-nano
2077627,1084664,"Payday Peanut Caramel Bar, 1.85 Oz., 6 Count",PayDay Peanut Caramel Bar,payday peanut,payday,1.85oz,1.85oz,False,False,0.9171737040334628,very_high,1,"Same brand class (national), same product type (Payday peanut caramel bar), same flavor, and same size (1.85 oz; 6-count packaging difference doesn’t affect per-unit size).",gpt-5-nano
2053431,98265,"(4 pack) Hi-Chew Tropical Mix Chewy Candy, 12.7 oz, Bag",Hi-Chew Chewy Tropical Mix Candy,hi chew tropical,hi chew,12.7oz,12.7oz,False,False,0.9195702628769552,very_high,1,"Same brand (national), same product type (Hi-Chew chewy candy), same flavor (tropical mix), and same size (12.7 oz); pack count differs but per-unit size matches.",gpt-5-nano
2384819,1884024,"Nerds Gummy Clusters Spooky Halloween Candy, 3 oz Pouch","Nerds Gummy Clusters, Spooky, Share Pouch Candy",nerds gummy,nerds,3oz,3oz,False,False,0.9235254299776126,very_high,1,"Same national brand (Nerds), same product type (gummy clusters spooky Halloween), same flavor (spooky), and same size (3 oz).",gpt-5-nano
1943612,115270,"Burt's Bees Overnight Lip Treatment for Dry Lips, Passion Fruit and Chamomile, 0.25 oz.","Burt's Bees Lip Treatment, for Dry Lips, Overnight, Essential Ceramides",burt s bees,burt s bees,0.25oz,0.25oz,False,False,0.8745846689208256,very_high,0,"Same brand/size, but different variant/flavor: A is 'Passion Fruit and Chamomile' (Overnight) while B is 'Essential Ceramides' (Overnight).",gpt-5-nano
1921326,95771,"McCormick Au Jus Gravy, 30% Less Sodium Gravy Mix, 1.0 oz Packet",McCormick Au Jus Gravy Seasoning Mix,mccormick au,mccormick,1oz,1oz,False,False,0.8770452972556673,very_high,0,Mismatch in product details: A specifies '30% Less Sodium' Au Jus Gravy mix packet; B is generic 'Au Jus Gravy Seasoning Mix'—not clearly the same variant.,gpt-5-nano
2054566,952714,"(4 pack) Quest Tortilla Style Protein Chips, Nacho Cheese, 1.1oz, 1 Ct",Quest Tortilla Style Nacho Cheese Flavor Protein Chips,quest tortilla,quest,1.1oz,1.1oz,False,False,0.906637750653968,very_high,1,"Same brand class (national), same product type (tortilla style protein chips), same flavor (nacho cheese), and same per-unit size (1.1oz); multi-pack detail differs but per-unit size matches.",gpt-5-nano
1946160,93165,"Ball Park Classic Hot Dogs, 15 oz, 8 Count",Ball Park Classic Hot Dogs,ball park,ball park,15oz,15oz,False,False,0.9718630997288986,very_high,1,Same brand and product type (Ball Park Classic Hot Dogs) and same size 15 oz; brand class matches and flavor/variant matches. Count detail differs but does not affect per-unit size.,gpt-5-nano
2200225,101879,"(2 pack) Martinelli's Sparkling Blush, 25.4 fl oz Glass Bottle",Martinelli's Sparkling Cider,martinelli s,martinelli s,25.4fl_oz,25.4fl_oz,False,False,0.8561763642720639,very_high,0,"Same brand class and size, but different product variant/flavor (Sparkling Blush vs Sparkling Cider).",gpt-5-nano
356419,1084656,"Hershey's Sugar Cookie Flavored White Creme Christmas Candy, Bar 1.55 oz","Hershey's Bar, Cookies 'n' Creme",hershey s,hershey s,1.55oz,1.55oz,False,False,0.8777210408840583,very_high,0,"Different product variant/flavor: A is Sugar Cookie Flavored White Creme Christmas Candy; B is Cookies 'n' Creme. Size and brand class match, but flavors differ.",gpt-5-nano
2055109,951911,"New York Bakery Texas Toast Garlic and Butter Croutons, 5 oz Bag","New York Bakery Texas Toast Croutons, Garlic & Butter",new york,new york bakery,5oz,5oz,False,False,0.9364560910878986,very_high,1,"Same brand class (national), same product type (Texas toast garlic & butter croutons), same variant, same size (5 oz bag).",gpt-5-nano
1949033,100125,"(8 pack) Hamburger Helper Four Cheese Lasagna, 5.5 oz Box","Hamburger Helper Pasta & Sauce Mix, Deluxe Cheeseburger Macaroni",hamburger helper,hamburger helper,5.5oz,5.5oz,False,False,0.8669469911083332,very_high,0,"Different product variant: 'Four Cheese Lasagna' vs 'Deluxe Cheeseburger Macaroni' (flavor/type mismatch) despite same brand, size, and pack size.",gpt-5-nano
1920957,110407,"Method Pure Peace Volumizing Shampoo - For Thicker, Fuller and Visibly Hydrated Hair - Sulfate Free and Safe for Color-Treated Hair - 14 Fl Oz",Method Pure Peace Volumizing Shampoo,method pure,method,14fl_oz,14fl_oz,False,False,0.8550911647876547,very_high,1,"Same brand class (national), same product type (Method Pure Peace Volumizing Shampoo), same variant (Pure Peace volumizing), and same size (14 fl oz).",gpt-5-nano
1944892,1086220,"Betty Crocker OREO Lava Cake Mix, Chocolate Cake Mix With OREO Cookie Pieces, 8.3 oz","Betty Crocker Cake Mix, Lava, Oreo",betty crocker,betty crocker,8.3oz,8.3oz,False,False,0.9273641005627576,very_high,1,"Same brand (national), same product type (cake mix), same variant (Lava with Oreo cookie pieces), and same size (8.3 oz).",gpt-5-nano
2054718,102466,"Old El Paso Mild Green Chile Enchilada Sauce, Meal Prep, 10 oz",Old El Paso Mild Green Chile Enchilada Sauce,old el,old el paso,10oz,10oz,False,False,0.9355842420668212,very_high,1,"Same brand class (national), same product (Old El Paso Mild Green Chile Enchilada Sauce) and same size (10 oz); meal-prep wording is not a different variant.",gpt-5-nano
1949247,101798,(6 pack) Tasty Bite Organic Madras Lentils 10oz - Savory lentil curry,Tasty Bite Organic Madras Lentils 10oz - Savory lentil curry,tasty bite,tasty bite,10oz,10oz,False,False,0.9881051368322404,very_high,1,"Same brand, product type/variant (Tasty Bite Organic Madras Lentils, savory lentil curry), same 10oz size; pack count differs but per-unit size matches.",gpt-5-nano
2124832,98421,"Pillsbury Dark Chocolate Brownie Mix, 18.4 oz Box",Pillsbury Dark Chocolate Brownie Mix Family Size,pillsbury dark,pillsbury,18.4oz,18.4oz,False,False,0.9058447803500532,very_high,1,"Same brand class (national), same product (dark chocolate brownie mix), same flavor, and same size 18.4 oz; 'family size' naming is a non-conflicting descriptor.",gpt-5-nano
2058954,112123,"(3 pack) Cortizone-10 Maximum Strength Intensive Healing Itch Relief Cream, 1% Hydrocortisone, Fast-Acting, Anti-Itch Cream for Bug Bites, Rash, Eczema, Psoriasis, Poison Ivy, Oak, Sumac & More, 2 oz",Cortizone-10 Max Strength Intensive Healing Itch Relief Cream,cortizone 10 maximum,cortizone 10,2oz,2oz,False,False,0.8739992930548017,very_high,0,"Same brand and size (2 oz) and product type, but store A is explicitly a 3-pack while store B is a single unit; multi-pack vs single must match per-unit size, which is unclear here, so treat as not the same.",gpt-5-nano
2065623,97992,"(3 pack) Duncan Hines Dolly Parton's Creamy Strawberry Flavored Frosting, Valentine's Day Cookie Decorating, 16 oz.",Duncan Hines Dolly Parton's Creamy Buttercream Flavored Cake Frosting,duncan hines,duncan hines,16oz,16oz,False,False,0.882668455181784,very_high,0,"Same brand and 16 oz, but different variant/flavor: strawberry frosting (A) vs buttercream frosting (B).",gpt-5-nano
2218097,108658,"CleanLogic Exfoliating Round Dual Texture Body Scrubber, Colors May Vary 1 ea (Pack of 3)","Cleanlogic Body Exfoliator, Dual-Texture",cleanlogic,cleanlogic,1each,1each,False,False,0.8646815794617166,very_high,0,"Mismatch in pack/size and variant: A is a 3-pack (Pack of 3) while B is single, even though both show 1 ea.",gpt-5-nano
1945693,951114,"Beech-Nut Organics Fruit & Yogurt Baby Food + Prebiotics, Banana Berry, Stage 2, 4oz Jar",Beech-Nut Organics Stage 2 (6+ Months) Banana Berry Fruit & Yogurt with Prebiotics,beech nut organics,beech nut,4oz,4oz,False,False,0.8944329347987783,very_high,1,"Same brand-class (national), same product type (Beech-Nut Organics fruit & yogurt baby food), same variant/flavor (Banana Berry, Stage 2), and same size (4 oz).",gpt-5-nano
371205,2159269,"Sunbutter Sunflower Seed Spread, Natural, 16 oz (Pack of 2)","SunButter Sunflower Seed Butter, Honey",sunbutter,sunbutter,16oz,16oz,False,False,0.90337252651918,very_high,0,"Same brand and 16oz, but flavors/variants differ: A is Natural (pack of 2) while B is Honey.",gpt-5-nano
2391898,111300,"Dove Men+Care Relaxing Hydrating Body Wash for Men Eucalyptus Cedar Plant-Based Cleanser, 18 fl oz",Dove Men+Care Relaxing Blue Eucalyptus + Birch Body + Face Wash,dove men care,dove men care,18fl_oz,18fl_oz,False,False,0.8920232464915101,very_high,0,"Both are Dove Men+Care 18 fl oz private-label status matches, but flavors/variant differ: A is 'Eucalyptus Cedar' while B is 'Blue Eucalyptus + Birch'.",gpt-5-nano
1939093,114761,"Dove Advanced Care Antiperspirant Deodorant Spray Beauty Finish, 3.8 oz",Dove Advanced Care Invisible Clear Finish Antiperspirant Deodorant Spray,dove advanced,dove,3.8oz,3.8oz,False,False,0.9095086515095124,very_high,1,"Same brand (Dove national), same product type (antiperspirant deodorant spray), same variant/finish (Advanced Care; beauty/invisible clear finish), and same size (3.8 oz).",gpt-5-nano
2055456,102368,"4C Natural Peach Iced Tea Mix, 66.1 oz (4lbs 2.1oz)","4C Iced Tea Mix, Peach Flavor",4c natural,4c,66.1oz,66.1oz,False,False,0.8692139806220596,very_high,1,"Same brand (4C), same product type (iced tea mix), same flavor (peach), and same size (66.1 oz); both are national (non-private-label).",gpt-5-nano
957875,1087866,"Fresh Raspberries Blueberries and Blackberries Variety Pack, 10 oz","Sun Belle Vari Berries Raspberries, Blueberries, Blackberries",sun belle,sun belle,10oz,10oz,False,False,0.9207735021893972,very_high,1,"Same brand (national), same product type/variant (raspberries/blueberries/blackberries), same size (10 oz).",gpt-5-nano
